COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,AstraZeneca - AZD1222,Gamaleya - Sputnik V,Moderna - mRNA-1273,CanSino - Ad5-nCOV,Bharat - Covaxin,Beijing CNBG - Inactivated,QazVac, Sinopharm/HayatVax,AstraZeneca - Vaxzevria, ZF2001,Wuhan CNBG - Inactivated,,VACCINES_USED,,,,,,,,
Congo,COG,AFRO,REPORTING,20-09-21,209327,103167,3.793,1.87,106160,1.924,23-03-21,4,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,SII - Covishield,,,,,
Cook Islands,COK,WPRO,REPORTING,03-08-21,21761,11416,123.895,64.997,10345,58.899,17-05-21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Pfizer BioNTech - Comirnaty,,,,,,,,
Costa Rica,CRI,AMRO,REPORTING,17-09-21,4872085,3144786,95.641,61.734,1727299,33.908,24-12-20,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,,,,,,,
Côte d’Ivoire,CIV,AFRO,REPORTING,19-09-21,1758966,1412268,6.668,5.354,346698,1.314,01-03-21,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,SII - Covishield,,,,,,
Croatia,HRV,EURO,OWID,17-09-21,3364565,1780180,82.909,43.867,1668319,41.11,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
Cuba,CUB,AMRO,REPORTING,17-09-21,17208732,7461666,151.932,65.877,5302545,46.815,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Abdala, Soberana02,,,,,,,
Curaçao,CUW,AMRO,REPORTING,17-09-21,185136,97149,112.824,59.204,87987,53.62,24-02-21,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,,,,,,
Cyprus,CYP,EURO,OWID,16-09-21,1129665,589098,127.214,66.339,540567,60.874,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Czechia,CZE,EURO,OWID,18-09-21,11712500,6042041,109.525,56.5,5894526,55.12,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Democratic Republic of the Congo,COD,AFRO,REPORTING,20-09-21,130482,96764,0.146,0.108,33718,0.038,19-04-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Denmark,DNK,EURO,OWID,17-09-21,8722656,4441715,149.803,76.282,4327326,74.317,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,
Djibouti,DJI,EMRO,REPORTING,18-09-21,66010,40689,6.681,4.118,26087,2.64,15-03-21,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,
Dominica,DMA,AMRO,REPORTING,17-09-21,43971,23300,61.078,32.365,20671,28.713,12-02-21,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield,,,,,
Dominican Republic,DOM,AMRO,REPORTING,17-09-21,11585713,5957432,106.801,54.918,4802290,44.269,16-02-21,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac,,,,,,
Ecuador,ECU,AMRO,REPORTING,17-09-21,20320001,10998667,115.173,62.34,9620899,54.531,21-01-21,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,,,
Egypt,EGY,EMRO,REPORTING,16-09-21,12964351,8158764,12.669,7.973,4805587,4.696,24-01-21,6,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,,,
El Salvador,SLV,AMRO,REPORTING,17-09-21,7013347,3748712,108.127,57.795,3264635,50.332,17-02-21,5,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac,,,,
Equatorial Guinea,GNQ,AFRO,REPORTING,16-09-21,375200,214122,26.743,15.262,161078,11.481,12-02-21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac,,,,,,,
Estonia,EST,EURO,OWID,17-09-21,1330145,746599,100.088,56.179,583546,43.909,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
Eswatini,SWZ,AFRO,REPORTING,19-09-21,231078,200605,19.918,17.291,193318,16.663,19-03-21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,SII - Covishield,,,,,,,,
Ethiopia,ETH,AFRO,REPORTING,20-09-21,3184627,2043626,2.77,1.778,1141001,0.992,13-03-21,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield,,,,,,
Falkland Islands (Malvinas),FLK,AMRO,OWID,14-04-21,4407,2632,126.529,75.567,1775,50.962,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,AstraZeneca - AZD1222,,,,,,,,
Faroe Islands,FRO,EURO,OWID,16-09-21,73208,37568,149.817,76.881,35640,72.936,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty,,,,,,,
Fiji,FJI,WPRO,REPORTING,10-09-21,907249,568998,101.205,63.473,338251,37.732,07-03-21,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,AstraZeneca - Vaxzevria,Moderna - mRNA-1273,SII - Covishield,,,,,,
Finland,FIN,EURO,OWID,18-09-21,7358931,4099673,133.186,74.198,3259258,58.988,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,,
France,FRA,EURO,OWID,15-09-21,92262410,49707676,141.856,76.427,43042655,66.179,,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty,,,,,
